"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
1439.57610132278,-0.659552205821566,0.173974231355773,-3.79109136267887,0.00014998676392277,0.000876740616339425,"Gnai3"
315.21294973109,6.11020720293726,1.42238750269282,4.29574021943359,1.74111381145171e-05,0.000128290696227456,"Cdc45"
224.603257862198,-9.36114594441773,1.64263834145823,-5.69884782800545,1.20619828724173e-08,1.73506984395541e-07,"H19"
151.215598092992,-2.2766228036735,0.644900804674249,-3.53019066990227,0.00041526028474289,0.0021633721285799,"Scml2"
39.4276937116679,-1.20038943627783,0.79900498501755,-1.50235537798486,0.133005353852833,0.255028614268277,"Apoh"
933.395624181589,-1.32772439163724,0.327938894996575,-4.04869447294778,5.15041278119075e-05,0.000338126692748905,"Narf"
2152.88696087624,-1.34278659808833,0.306149364804423,-4.38605057680305,1.15427293063073e-05,8.91938173669202e-05,"Klf6"
1197.12732444804,-1.85269313818412,0.582198404513717,-3.18223671487315,0.00146142320839399,0.00651007605243712,"Scmh1"
3677.10053974272,1.95936518817209,0.237260624237948,8.2582821926956,1.47783835754527e-16,5.95589668980802e-15,"Cox5a"
94.2934547888653,-1.29752847173634,1.19086674573156,-1.08956646609462,0.275904161537462,0.433333695492264,"Tbx2"
3.80573232597168,-5.17875425206734,2.63086150433535,-1.96846327468525,NA,NA,"Zfy2"
32.788684969457,0.955841246737209,2.33263429305994,0.409769010762224,0.68197540080037,0.811038492115315,"Ngfr"
21.8615276302599,5.04648058794352,1.13363197714987,4.45160395054415,8.5231255899102e-06,6.82657015801419e-05,"Wnt3"
49.1584842601853,2.15360020963992,1.36858371462704,1.57359771756952,0.11558048126355,0.229873378478533,"Wnt9a"
1173.22376937537,-1.56314177233108,0.239958211086088,-6.51422497799122,7.30659177718371e-11,1.48855049222097e-09,"Fer"
978.181136022729,-1.04690527521994,0.401713460323487,-2.60609956752981,0.009157983579917,0.030398276961365,"Xpo6"
327.897481688586,-0.0368859550194986,0.714536985426269,-0.0516221773985481,0.958829747889132,1,"Tfe3"
