"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"RP11-415J8.3",52,0.000789,1.607,"reduce survival"
"RP4-635E18.7",8,0.000802,1.601,"reduce survival"
"RP11-903H12.3",1,0.000814,1.6,"reduce survival"
"CUBN",133,0.000822,1.601,"reduce survival"
"AC187652.1",19,0.000825,1.598,"reduce survival"
"IGF2BP3",85,0.000831,1.6,"reduce survival"
"LBX1",2,0.000835,1.591,"reduce survival"
"PLP2",369,0.000844,1.6,"reduce survival"
"HOXA-AS3",5,0.000845,1.598,"reduce survival"
"DYNLL1-AS1",234,0.000846,1.595,"reduce survival"
"AC159540.1",140,0.000847,1.6,"reduce survival"
"NFE2L3",300,0.000865,1.599,"reduce survival"
"ZNF211",503,0.000865,1.601,"reduce survival"
"SOD2",11570,0.00087,1.597,"reduce survival"
"OSTM1-AS1",20,0.000871,1.594,"reduce survival"
"PLOD3",4008,0.000874,1.593,"reduce survival"
"RP1-120G22.11",5,0.000897,0.622,"extend survival"
"MS4A14",71,0.000911,1.597,"reduce survival"
"EPHA1",70,0.000919,1.594,"reduce survival"
"LINC00996",6,0.000926,0.627,"extend survival"
"ONECUT1",7,0.00093,1.593,"reduce survival"
"TMEM107",319,0.00093,1.591,"reduce survival"
"TGFB2",962,0.000931,1.593,"reduce survival"
"CHRNA9",46,0.000943,1.59,"reduce survival"
"LMO1",217,0.000952,1.588,"reduce survival"
"ANXA2P1",2,0.000954,1.591,"reduce survival"
"KANSL1L",527,0.000961,1.593,"reduce survival"
"EMILIN2",684,0.000963,1.589,"reduce survival"
"DHRS13",176,0.000969,1.587,"reduce survival"
"CHPF2",1522,0.00097,1.59,"reduce survival"
"CALHM1",4,0.000977,0.625,"extend survival"
"CDC42",6858,0.000981,1.588,"reduce survival"
"RP11-269F19.2",3,0.000985,1.588,"reduce survival"
"RP11-465B22.5",5,0.000995,1.588,"reduce survival"
"HEATR2",908,0.000997,1.587,"reduce survival"
"CTC-462L7.1",95,0.00103,1.583,"reduce survival"
"STAR",13,0.001033,0.631,"extend survival"
"PSMC1P7",1,0.001042,1.606,"reduce survival"
"TUBA1A",50193,0.00106,1.575,"reduce survival"
"RERGL",49,0.001068,0.631,"extend survival"
"MIR2117",1,0.00107,1.599,"reduce survival"
"PLAT",1444,0.001091,1.582,"reduce survival"
"RP5-940J5.6",12,0.001097,1.582,"reduce survival"
"AC064875.2",71,0.001101,1.582,"reduce survival"
"CTD-2619J13.1",1,0.001109,1.595,"reduce survival"
"SNORA71A",3,0.001126,1.584,"reduce survival"
"MORC2",946,0.001131,1.578,"reduce survival"
"LBX1-AS1",3,0.001136,1.577,"reduce survival"
"PLIN2",668,0.001139,1.582,"reduce survival"
"SSFA2",3357,0.001144,1.582,"reduce survival"
"GS1-124K5.12",288,0.001149,1.577,"reduce survival"
"WARS2",231,0.001151,1.576,"reduce survival"
"PLSCR2",1,0.001159,1.577,"reduce survival"
"RGS16",521,0.001163,1.578,"reduce survival"
"MOGS",2238,0.001172,1.574,"reduce survival"
"KRTCAP2",133,0.001175,1.577,"reduce survival"
"RP11-219G17.4",28,0.001182,1.578,"reduce survival"
"PRLHR",2,0.001195,0.627,"extend survival"
"RP5-1024N4.4",32,0.001199,1.581,"reduce survival"
"TBR1",27,0.001204,0.634,"extend survival"
"ACP2",1306,0.001205,1.574,"reduce survival"
"RP11-245J9.6",6,0.001205,1.574,"reduce survival"
"CCDC19",22,0.001212,1.575,"reduce survival"
"LRRC39",59,0.001212,1.579,"reduce survival"
"ZNF251",728,0.001239,1.577,"reduce survival"
"BLM",456,0.001261,1.573,"reduce survival"
"RP11-455O6.2",5,0.001268,1.571,"reduce survival"
"SCIN",328,0.001268,1.574,"reduce survival"
"ANKRD53",16,0.00128,1.568,"reduce survival"
"SNORD91B",2,0.001285,1.578,"reduce survival"
"RP11-524C21.2",25,0.0013,1.57,"reduce survival"
"SLC9C1",2,0.001301,1.569,"reduce survival"
"AC005550.4",4,0.001302,1.573,"reduce survival"
"RP11-893F2.9",12,0.001304,1.57,"reduce survival"
"FAM181A-AS1",66,0.001312,1.572,"reduce survival"
"ZNF682",285,0.001336,1.573,"reduce survival"
"TOE1",293,0.001342,1.568,"reduce survival"
"FMOD",259,0.001349,1.567,"reduce survival"
"OPRK1",5,0.001356,0.635,"extend survival"
"RP11-147I3.1",68,0.001356,1.57,"reduce survival"
"DDR1",11898,0.001367,1.569,"reduce survival"
"HOXA3",36,0.00137,1.567,"reduce survival"
"SKINTL",14,0.001377,1.568,"reduce survival"
"AL135998.1",1,0.0014,1.577,"reduce survival"
"ACTA2",517,0.001405,1.567,"reduce survival"
