"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"MIR941-1",1,0.004275,1.495,"reduce survival"
"RP11-189B4.6",13,0.004275,1.498,"reduce survival"
"AC005618.6",62,0.004283,1.496,"reduce survival"
"RP1-240B8.3",2,0.004283,0.664,"extend survival"
"LINC00702",15,0.004287,1.495,"reduce survival"
"HOXD13",21,0.004288,1.495,"reduce survival"
"CILP",41,0.004289,1.493,"reduce survival"
"CXorf31",1,0.00429,0.642,"extend survival"
"CCDC176",63,0.004314,1.497,"reduce survival"
"RP5-968P14.2",26,0.004314,1.493,"reduce survival"
"SCLT1",271,0.004316,1.495,"reduce survival"
"FGFRL1",1212,0.004327,1.495,"reduce survival"
"TTLL7",1247,0.004334,1.495,"reduce survival"
"L1TD1",4,0.004344,1.493,"reduce survival"
"SH3PXD2B",1998,0.004347,1.495,"reduce survival"
"C1orf63",2457,0.00436,1.498,"reduce survival"
"SMPD4",1873,0.004362,1.495,"reduce survival"
"CHRNA1",26,0.004364,1.495,"reduce survival"
"SOX5",359,0.004368,1.496,"reduce survival"
"FBXO42",1118,0.004394,1.493,"reduce survival"
"TANC1",1434,0.004426,1.495,"reduce survival"
"TCTN1",1151,0.004437,1.495,"reduce survival"
"TEAD4",206,0.00445,1.491,"reduce survival"
"RP1-140K8.5",33,0.00446,1.49,"reduce survival"
"RP11-479G22.8",41,0.004468,1.492,"reduce survival"
"ARC",2109,0.004478,1.493,"reduce survival"
"TMEM133",177,0.004506,1.495,"reduce survival"
"ABCF3",2259,0.004555,1.489,"reduce survival"
"MYO1E",825,0.004561,1.493,"reduce survival"
"AKR7A2P1",3,0.004604,1.492,"reduce survival"
"RP5-1172A22.1",4,0.004608,1.491,"reduce survival"
"RP11-51J9.4",1,0.004616,1.491,"reduce survival"
"AL357673.1",173,0.004625,1.491,"reduce survival"
"SLC35G5",4,0.004638,1.49,"reduce survival"
"RP11-1072C15.4",3,0.004641,1.489,"reduce survival"
"MBNL3",180,0.004645,1.491,"reduce survival"
"ALX3",5,0.004651,1.489,"reduce survival"
"TMEM69",489,0.004658,1.488,"reduce survival"
"RAB27A",294,0.004662,1.491,"reduce survival"
"RPS20P22",10,0.004675,1.488,"reduce survival"
"PDE4A",629,0.004683,0.671,"extend survival"
"DDX3YP1",4,0.004689,1.491,"reduce survival"
"TPTE2P3",12,0.004732,0.671,"extend survival"
"RP11-626A5.2",1,0.004735,1.489,"reduce survival"
"GREB1L",56,0.004742,0.673,"extend survival"
"HAVCR2",579,0.004747,1.49,"reduce survival"
"BLK",4,0.00477,0.671,"extend survival"
"RP11-726G1.1",59,0.004772,1.484,"reduce survival"
"ZCCHC9",467,0.004781,1.49,"reduce survival"
"RP11-311F12.1",8,0.004821,1.484,"reduce survival"
"AF129075.5",17,0.004825,1.492,"reduce survival"
"TMEM165",2150,0.004828,1.49,"reduce survival"
"LTF",1110,0.004833,1.489,"reduce survival"
"RP11-20I20.4",14,0.004844,1.486,"reduce survival"
"OTUD3",592,0.004856,1.489,"reduce survival"
"PCM1",2023,0.004862,1.49,"reduce survival"
"NCKAP1L",539,0.004881,1.488,"reduce survival"
"SPP1",18439,0.004894,1.486,"reduce survival"
"CXCL2",110,0.004912,1.488,"reduce survival"
"C7orf49",401,0.004915,1.486,"reduce survival"
"AP1M1",2805,0.004926,1.484,"reduce survival"
"ZDHHC18",951,0.004936,1.485,"reduce survival"
"CNPY4",797,0.00494,1.483,"reduce survival"
"ATG9B",84,0.004963,1.484,"reduce survival"
"CCNL2",8013,0.004988,1.487,"reduce survival"
"HAS2",225,0.004988,1.484,"reduce survival"
"AC005550.3",1,0.00499,1.486,"reduce survival"
"HILS1",15,0.005011,1.482,"reduce survival"
"RP1-167A14.2",4,0.005015,1.487,"reduce survival"
"CAPZA1",1940,0.00502,1.487,"reduce survival"
"ZSCAN12P1",50,0.005022,1.482,"reduce survival"
"RP11-90K6.1",1,0.005024,1.484,"reduce survival"
"USP27X",17,0.005036,0.672,"extend survival"
"RP5-916L7.2",2,0.005039,1.481,"reduce survival"
"RP11-1191J2.5",65,0.005054,1.485,"reduce survival"
"CTD-3057O21.1",1,0.005073,0.659,"extend survival"
"NGLY1",787,0.00508,1.485,"reduce survival"
"PABPC1P3",7,0.005084,1.482,"reduce survival"
"TNFAIP6",111,0.005093,1.485,"reduce survival"
"FOXD3",21,0.005115,1.483,"reduce survival"
"CAPN5",638,0.005126,1.48,"reduce survival"
"EXD2",910,0.005157,1.486,"reduce survival"
"ARID4B",1156,0.005178,1.487,"reduce survival"
"ZNF784",436,0.005197,1.479,"reduce survival"
"MSN",6551,0.005211,1.482,"reduce survival"
"SLC35C1",624,0.005241,1.482,"reduce survival"
"XKR8",344,0.005249,1.482,"reduce survival"
"LRRC37A3",432,0.005254,1.482,"reduce survival"
"NCL",12282,0.005258,1.48,"reduce survival"
"ZNF470",454,0.005279,1.483,"reduce survival"
"RP11-4K3__A.5",6,0.00528,1.481,"reduce survival"
"AC108463.2",11,0.005282,1.481,"reduce survival"
"HAND2",23,0.005285,1.481,"reduce survival"
"AGRN",8796,0.005287,1.482,"reduce survival"
"ALG2",646,0.005294,1.482,"reduce survival"
"TRAPPC3",1645,0.005298,1.481,"reduce survival"
"ZNF222",117,0.005299,1.483,"reduce survival"
"RP11-169E6.1",8,0.005301,0.675,"extend survival"
"ACTBP7",4,0.005322,1.479,"reduce survival"
"TAP1",955,0.005324,1.481,"reduce survival"
"RRAGC",984,0.005334,1.482,"reduce survival"
"LOXL2",663,0.005337,1.481,"reduce survival"
"SCARA3",4863,0.005344,1.476,"reduce survival"
"EDN3",50,0.005354,0.676,"extend survival"
"AC093802.1",1,0.005361,0.674,"extend survival"
"CDCA7L",271,0.005363,1.482,"reduce survival"
"ECHS1",2934,0.00537,0.674,"extend survival"
"CBLN2",20,0.005372,0.674,"extend survival"
"SPRY1",478,0.005374,1.481,"reduce survival"
"FNBP4",1790,0.005401,1.483,"reduce survival"
"CD97",761,0.005411,1.481,"reduce survival"
"TRIB2",2772,0.005415,1.481,"reduce survival"
"MSNP1",3,0.005427,1.479,"reduce survival"
"RYBP",729,0.00543,1.481,"reduce survival"
"DEPDC4",23,0.005447,1.479,"reduce survival"
"PIGT",2793,0.005463,1.48,"reduce survival"
"ZNF705E",3,0.005464,1.479,"reduce survival"
"ATXN2L",3534,0.005482,1.481,"reduce survival"
"NPHP1",370,0.0055,1.48,"reduce survival"
"CTC-471F3.6",47,0.00552,1.481,"reduce survival"
"SNAI2",124,0.005545,1.476,"reduce survival"
"SDR16C5",2,0.005561,0.676,"extend survival"
"IPO4",6,0.005564,1.48,"reduce survival"
"MCF2",27,0.005571,0.676,"extend survival"
"NPLOC4",3721,0.005596,1.475,"reduce survival"
"LOXL4",59,0.005597,1.478,"reduce survival"
"SOCS2",346,0.005609,1.48,"reduce survival"
"TMEM184A",11,0.00565,1.475,"reduce survival"
"POLE",1211,0.005665,1.478,"reduce survival"
"TRAF5",406,0.005671,1.478,"reduce survival"
"MTERFD1",447,0.005673,1.477,"reduce survival"
"RP11-146D12.2",12,0.005675,1.473,"reduce survival"
"FBXL19-AS1",80,0.005703,1.479,"reduce survival"
"RP11-403A21.1",5,0.005713,1.474,"reduce survival"
"ZBTB49",185,0.005725,1.478,"reduce survival"
"CAP1",4948,0.005728,1.477,"reduce survival"
"HSPB7",86,0.005743,1.477,"reduce survival"
"AC069213.1",13,0.005745,1.475,"reduce survival"
"LRRC34",86,0.005745,1.475,"reduce survival"
"SLC1A5",607,0.005751,1.477,"reduce survival"
"RSL24D1P11",3,0.005769,1.474,"reduce survival"
"RP11-121A14.2",18,0.005771,1.474,"reduce survival"
"ICAM1",250,0.005774,1.477,"reduce survival"
"SPAG17",16,0.005793,1.476,"reduce survival"
"SRSF2",2807,0.005794,1.475,"reduce survival"
"RP11-751H17.1",1,0.005814,1.478,"reduce survival"
"NANOGP5",1,0.005819,1.507,"reduce survival"
"FAT4",129,0.005821,1.477,"reduce survival"
"LRIT3",19,0.005831,1.476,"reduce survival"
"FAM198A",256,0.005832,1.474,"reduce survival"
"MSANTD2",441,0.005859,1.478,"reduce survival"
"STK36",1252,0.005869,1.476,"reduce survival"
"FAM71F2",87,0.005876,1.476,"reduce survival"
"CTC-366B18.4",51,0.005893,1.475,"reduce survival"
"AC006994.1",1,0.005895,1.488,"reduce survival"
"PANK4",986,0.005911,1.472,"reduce survival"
"TMED10",5738,0.005913,1.476,"reduce survival"
"LIG1",839,0.005923,1.473,"reduce survival"
"KIF23",221,0.005929,1.471,"reduce survival"
"ABL1",3243,0.005954,1.474,"reduce survival"
"AC073343.1",58,0.005971,1.474,"reduce survival"
"XRCC3",848,0.005974,1.475,"reduce survival"
"RP11-82L7.4",2,0.005976,1.475,"reduce survival"
"RP13-884E18.4",1,0.005986,1.474,"reduce survival"
"LINC00342",918,0.005999,1.475,"reduce survival"
"TGFB1I1",1081,0.006026,1.472,"reduce survival"
"EFCAB13",48,0.006043,1.475,"reduce survival"
"TBX5-AS1",5,0.006051,1.47,"reduce survival"
"C12orf42",4,0.006064,0.677,"extend survival"
"ALG1L13P",6,0.006094,1.472,"reduce survival"
"AKAP8",1272,0.006112,1.474,"reduce survival"
"MGAT4B",3110,0.006113,1.47,"reduce survival"
"RBM5",2681,0.006113,1.474,"reduce survival"
"LRFN5",32,0.006117,0.678,"extend survival"
"GPS2",31,0.006121,1.474,"reduce survival"
"ZNF304",312,0.006134,1.474,"reduce survival"
"SEMA5A",1677,0.00614,1.472,"reduce survival"
"AC145676.2",23,0.006143,1.471,"reduce survival"
"RP1-167F1.2",46,0.006183,1.474,"reduce survival"
"ZBTB7B",1135,0.006221,1.47,"reduce survival"
"FABP5",1207,0.006233,1.472,"reduce survival"
"CBX8",531,0.006234,1.468,"reduce survival"
"LRRC25",215,0.006235,1.471,"reduce survival"
"BLACE",2,0.006236,1.468,"reduce survival"
"RP11-977B10.2",10,0.006239,1.47,"reduce survival"
"CBLN3",60,0.00625,1.47,"reduce survival"
"MEOX2",50,0.006258,1.471,"reduce survival"
"RP11-84A19.3",13,0.006273,1.471,"reduce survival"
"GLI2",199,0.006276,1.472,"reduce survival"
"OSBPL5",1246,0.006283,1.471,"reduce survival"
"RP11-411B10.8",2,0.006299,1.466,"reduce survival"
"SAMD9L",601,0.0063,1.47,"reduce survival"
"CHIAP3",4,0.006313,1.471,"reduce survival"
"ARL11",63,0.006321,1.471,"reduce survival"
"RP1-293L6.1",3,0.006324,0.677,"extend survival"
"RP11-379C10.4",4,0.00633,1.473,"reduce survival"
"FSTL1",3537,0.006331,1.469,"reduce survival"
"CTC-429L19.3",11,0.006332,1.47,"reduce survival"
"CPA4",33,0.006349,1.469,"reduce survival"
"FAM153A",11,0.006359,0.68,"extend survival"
"ZFYVE26",1002,0.006363,1.473,"reduce survival"
"TXNDC12",1826,0.006365,1.468,"reduce survival"
"GPX7",423,0.006389,1.467,"reduce survival"
"CREB5",1420,0.006405,1.469,"reduce survival"
"MMP2",2303,0.006413,1.468,"reduce survival"
"CD36",82,0.006417,1.469,"reduce survival"
"PALLD",2303,0.006424,1.47,"reduce survival"
"AC005498.4",5,0.006432,1.467,"reduce survival"
"AL137846.1",7,0.006432,1.469,"reduce survival"
"PRUNE",454,0.006441,1.469,"reduce survival"
"MTO1",416,0.006442,1.471,"reduce survival"
"ZFP28",348,0.006449,1.47,"reduce survival"
"CTD-2227E11.1",8,0.006451,1.468,"reduce survival"
"GJD2",5,0.006473,0.68,"extend survival"
"CP",263,0.006475,1.469,"reduce survival"
"AL049840.1",25,0.006477,1.471,"reduce survival"
"RP11-29H23.5",40,0.006496,1.466,"reduce survival"
"PDE4B",1788,0.006505,1.47,"reduce survival"
"RBM39",6132,0.006506,1.47,"reduce survival"
"CACNA2D3",70,0.006524,0.682,"extend survival"
"CTB-89H12.4",342,0.006525,1.469,"reduce survival"
"IL13RA2",138,0.006549,1.465,"reduce survival"
"RP11-626P14.1",1,0.006555,1.468,"reduce survival"
"CTD-2035E11.3",4,0.006559,1.464,"reduce survival"
"RPL21P75",9,0.006563,0.679,"extend survival"
"CHFR",1189,0.006568,1.468,"reduce survival"
"BMP2",261,0.006569,0.682,"extend survival"
"LOXL3",637,0.00657,1.469,"reduce survival"
"ALKBH6",77,0.006574,1.469,"reduce survival"
"RRM2P3",3,0.006581,1.467,"reduce survival"
"RP11-981G7.1",22,0.006612,1.464,"reduce survival"
"CTD-2620I22.7",39,0.006614,1.466,"reduce survival"
"C2orf66",25,0.006615,1.466,"reduce survival"
"RNU7-162P",1,0.006621,1.511,"reduce survival"
"FAM189A2",672,0.006629,1.467,"reduce survival"
"RP11-991C1.1",3,0.006665,1.464,"reduce survival"
"ART5",6,0.006669,0.682,"extend survival"
"PCDHGA9",51,0.006672,1.468,"reduce survival"
"SLC12A5",177,0.006688,0.682,"extend survival"
"ITGB2",2769,0.006701,1.466,"reduce survival"
"RDH5",41,0.006707,1.469,"reduce survival"
"CHTOP",2718,0.006711,1.466,"reduce survival"
"AC005682.5",19,0.006714,1.467,"reduce survival"
"RP11-86H7.7",39,0.006717,1.463,"reduce survival"
"RP11-689B22.2",4,0.006723,1.468,"reduce survival"
"COL6A2",5943,0.006749,1.466,"reduce survival"
"SLC5A9",49,0.006756,1.468,"reduce survival"
"TBC1D3F",81,0.006759,1.467,"reduce survival"
"AL590431.1",8,0.006773,1.466,"reduce survival"
"PCDHB3",3,0.006793,1.464,"reduce survival"
"HTR5A",4,0.006852,0.681,"extend survival"
"TGIF2",417,0.006855,1.463,"reduce survival"
"CTD-3195I5.1",304,0.006893,1.466,"reduce survival"
"XXbac-BPG157A10.21",3,0.006916,1.459,"reduce survival"
"COL4A5",934,0.006923,1.465,"reduce survival"
"ZBED5",1254,0.006934,1.464,"reduce survival"
"PLOD2",1256,0.006963,1.464,"reduce survival"
"RP11-34F13.3",1,0.006979,1.462,"reduce survival"
"CLSPN",69,0.006983,1.463,"reduce survival"
"TMEM132E",1137,0.007001,1.463,"reduce survival"
"ZNF830",516,0.007002,1.463,"reduce survival"
"SEC22A",340,0.007015,1.459,"reduce survival"
"HOXC8",14,0.007022,1.462,"reduce survival"
"RP11-699L21.1",5,0.007024,1.462,"reduce survival"
"NPL",846,0.007035,1.464,"reduce survival"
"IGDCC4",919,0.00707,1.464,"reduce survival"
"IPO13",2852,0.007083,1.46,"reduce survival"
"RP11-5C23.2",31,0.007086,1.462,"reduce survival"
"CD9",4823,0.007113,1.463,"reduce survival"
"LATS2",257,0.007117,1.463,"reduce survival"
"HIST1H2BH",10,0.007133,1.46,"reduce survival"
"PSMD10P1",4,0.007134,1.461,"reduce survival"
"CEP95",562,0.007135,1.461,"reduce survival"
"WDR1",7418,0.007145,1.461,"reduce survival"
"CTD-2035E11.4",21,0.007151,1.461,"reduce survival"
"NKX6-1",55,0.007162,1.461,"reduce survival"
"STAM2",752,0.007173,1.462,"reduce survival"
"MAP3K2",1304,0.007193,1.463,"reduce survival"
"DAB2",818,0.007202,1.462,"reduce survival"
"FAM46B",83,0.007209,1.461,"reduce survival"
"PHF12",1582,0.007249,1.461,"reduce survival"
"HRH1",543,0.007256,1.459,"reduce survival"
"RP11-472B18.1",27,0.007265,1.461,"reduce survival"
"AHR",572,0.007316,1.461,"reduce survival"
"TTN-AS1",27,0.007328,1.459,"reduce survival"
"RNFT1",255,0.007355,1.46,"reduce survival"
"FJX1",3054,0.007357,1.459,"reduce survival"
"HCK",435,0.007376,1.46,"reduce survival"
"NUP62",1683,0.007387,1.458,"reduce survival"
"ZNF823",95,0.007389,1.461,"reduce survival"
"PAXIP1-AS2",66,0.00739,1.461,"reduce survival"
"MAOB",3788,0.007398,1.46,"reduce survival"
"RP11-211G3.3",1,0.007404,1.46,"reduce survival"
"YIPF2",1123,0.007422,1.456,"reduce survival"
"COL20A1",1188,0.007426,1.457,"reduce survival"
"MPZL2",76,0.007434,1.459,"reduce survival"
"NBEAP1",2,0.007435,0.684,"extend survival"
"ZNF850",103,0.007443,1.46,"reduce survival"
"TEX10",795,0.007452,1.455,"reduce survival"
"CTD-3049M7.1",165,0.007464,1.457,"reduce survival"
"TMBIM1",2764,0.007466,1.458,"reduce survival"
"EPHA10",82,0.007479,0.686,"extend survival"
"AP000473.5",94,0.007493,1.458,"reduce survival"
"RP11-168K11.3",2,0.007498,1.46,"reduce survival"
"RP11-365F18.6",3,0.007504,1.457,"reduce survival"
"TMEM67",348,0.007508,1.459,"reduce survival"
"FABP7",4116,0.00753,1.458,"reduce survival"
"SSTR1",13,0.007534,0.685,"extend survival"
"THOC1",941,0.007545,1.459,"reduce survival"
"RP11-578F21.2",2,0.007562,1.46,"reduce survival"
"EIF4G1",7786,0.007577,1.456,"reduce survival"
"PTPRT",172,0.007578,0.686,"extend survival"
"RP11-43D2.2",1,0.007581,1.459,"reduce survival"
"RAD54L2",1140,0.007588,1.459,"reduce survival"
"PAN2",1567,0.007591,1.459,"reduce survival"
"SDC3",18488,0.007603,1.454,"reduce survival"
"ESYT1",1372,0.007604,1.458,"reduce survival"
"LSMEM1",98,0.00761,1.458,"reduce survival"
"NAV2",1547,0.007611,1.457,"reduce survival"
"LOXL1-AS1",29,0.007617,1.457,"reduce survival"
"CDK11A",18,0.007672,1.457,"reduce survival"
"ANP32A",4055,0.007673,1.455,"reduce survival"
"LMNA",6266,0.007674,1.457,"reduce survival"
"BBS12",123,0.007675,1.456,"reduce survival"
"LRRC15",6,0.007681,1.457,"reduce survival"
"PRICKLE1",142,0.007683,0.686,"extend survival"
"CENPJ",360,0.007692,1.457,"reduce survival"
"LINC00528",14,0.007696,0.688,"extend survival"
"C9orf64",300,0.007716,1.456,"reduce survival"
"GBP1",864,0.007728,1.457,"reduce survival"
"CTSA",4001,0.007751,1.456,"reduce survival"
"ANXA5",10086,0.007752,1.457,"reduce survival"
"STX2",814,0.007765,1.456,"reduce survival"
"LYSMD4",315,0.007783,1.455,"reduce survival"
"GPBP1",2619,0.007801,1.456,"reduce survival"
"RP4-760C5.3",17,0.007819,1.454,"reduce survival"
"ATP6V1C2",34,0.007842,1.456,"reduce survival"
"GPR141",6,0.007851,1.455,"reduce survival"
"CTD-3128G10.6",3,0.007856,1.456,"reduce survival"
"RGMA",6267,0.007865,1.454,"reduce survival"
"RP11-509J21.1",28,0.007882,1.456,"reduce survival"
"TMEM139",22,0.007925,1.452,"reduce survival"
"TMEM180",520,0.00794,0.688,"extend survival"
"KCNJ11",108,0.007953,0.688,"extend survival"
"ARL5AP3",2,0.007955,1.457,"reduce survival"
"HOXA1",10,0.007968,1.453,"reduce survival"
"HSD3B7",390,0.007972,1.454,"reduce survival"
"CLK1",3097,0.007996,1.457,"reduce survival"
"RP11-244O19.1",341,0.007999,1.452,"reduce survival"
"RP11-159D12.2",505,0.008009,1.456,"reduce survival"
"COL16A1",4196,0.008016,1.454,"reduce survival"
"RP11-1114A5.4",181,0.008027,1.456,"reduce survival"
"CWC25",762,0.008043,1.453,"reduce survival"
"RP11-46A10.2",3,0.008043,1.454,"reduce survival"
"SPHK1",622,0.008049,1.453,"reduce survival"
"LIF",188,0.008062,1.455,"reduce survival"
"RFPL1S",72,0.008078,0.688,"extend survival"
"RP11-504P24.5",6,0.008082,1.452,"reduce survival"
"ZNF551",156,0.008084,1.455,"reduce survival"
"RP11-567J20.2",1,0.008086,1.459,"reduce survival"
"ANXA2",6331,0.008091,1.454,"reduce survival"
"RNU1-67P",1,0.008094,0.684,"extend survival"
"MAN1C1",1946,0.008105,1.453,"reduce survival"
"MRPL38",91,0.008119,1.454,"reduce survival"
"RP4-669P10.19",1,0.008127,0.683,"extend survival"
"HOXC5",1,0.00814,1.451,"reduce survival"
"DDX27",1229,0.008155,1.452,"reduce survival"
"SLC26A7",22,0.008158,1.454,"reduce survival"
"ERBB2",1177,0.008159,1.453,"reduce survival"
"ARSD",728,0.008163,1.452,"reduce survival"
"COL1A2",3684,0.008169,1.453,"reduce survival"
"NYNRIN",368,0.008185,1.454,"reduce survival"
"RP11-552F3.4",2,0.008185,1.452,"reduce survival"
"RP11-509J21.4",5,0.008213,1.453,"reduce survival"
"USP21",1254,0.008218,1.45,"reduce survival"
"AC005624.2",4,0.008246,1.452,"reduce survival"
"EI24P2",1,0.008246,1.474,"reduce survival"
"RP11-770E5.1",1,0.008251,1.45,"reduce survival"
"SH3D21",279,0.008272,1.452,"reduce survival"
"MAB21L1",28,0.008281,1.452,"reduce survival"
"ZNF529",684,0.008292,1.453,"reduce survival"
"NTAN1",672,0.008297,1.452,"reduce survival"
"SNX10",896,0.008331,1.449,"reduce survival"
"TTC25",44,0.008357,1.45,"reduce survival"
"AC005237.4",1,0.008371,1.462,"reduce survival"
"RP11-343L5.2",30,0.008384,1.451,"reduce survival"
"CA4",89,0.008395,0.689,"extend survival"
"GPN2",1263,0.008403,1.45,"reduce survival"
"AFG3L1P",846,0.008413,1.453,"reduce survival"
"SNHG18",124,0.008428,1.45,"reduce survival"
"PSMF1",3482,0.008429,1.447,"reduce survival"
"CNN3",8638,0.008436,1.448,"reduce survival"
"SEPT7P2",574,0.008437,1.451,"reduce survival"
"RP1-43E13.2",9,0.008438,1.45,"reduce survival"
"ARG2",55,0.00844,1.451,"reduce survival"
"CTD-2114J12.1",1,0.008448,1.473,"reduce survival"
"GABARAPL3",2,0.008466,1.451,"reduce survival"
"A1BG-AS1",32,0.008495,1.451,"reduce survival"
"RNA5SP283",85,0.008506,1.448,"reduce survival"
"CTD-2537I9.12",37,0.008523,1.451,"reduce survival"
"ACADL",35,0.008525,1.451,"reduce survival"
"GYPC",832,0.008526,1.45,"reduce survival"
"APOL4",306,0.008532,1.449,"reduce survival"
"AP001439.2",2,0.008537,1.45,"reduce survival"
"RP11-831F12.3",2,0.008553,1.46,"reduce survival"
"RPSAP8",1,0.008561,0.68,"extend survival"
"IFT81",568,0.008563,1.45,"reduce survival"
"STRIP1",1418,0.008565,1.449,"reduce survival"
"KIAA0907",1407,0.008611,1.45,"reduce survival"
"LPHN2",596,0.00863,1.449,"reduce survival"
"RP11-253E3.3",45,0.008631,1.448,"reduce survival"
"SNW1",1045,0.008644,1.449,"reduce survival"
"LPO",6,0.008665,0.689,"extend survival"
"CLIC1",2137,0.008688,1.449,"reduce survival"
"C2orf62",14,0.008696,1.447,"reduce survival"
"LINC00998",1192,0.0087,1.447,"reduce survival"
"PPM1M",705,0.008736,1.446,"reduce survival"
"RNU4ATAC18P",4,0.008736,1.448,"reduce survival"
"INPPL1",5582,0.00878,1.449,"reduce survival"
"PRICKLE4",567,0.008783,1.448,"reduce survival"
"RP11-80H5.2",1,0.008801,0.674,"extend survival"
"CTD-2296D1.2",3,0.008814,0.69,"extend survival"
"TMEM198B",576,0.008817,1.449,"reduce survival"
"NR1H4",3,0.008822,0.689,"extend survival"
"AL049542.1",16,0.008831,1.447,"reduce survival"
"MOB1B",1026,0.008839,1.447,"reduce survival"
"TYK2",4688,0.008841,1.447,"reduce survival"
"LPAR1",1092,0.008855,1.446,"reduce survival"
"BBX",1225,0.008856,1.448,"reduce survival"
"CLHC1",188,0.008881,1.447,"reduce survival"
"GLB1",996,0.008892,1.444,"reduce survival"
"LINC00665",684,0.008892,1.445,"reduce survival"
"TEAD2",308,0.008912,1.447,"reduce survival"
"S100PBP",845,0.00892,1.448,"reduce survival"
"RPSAP53",2,0.008926,1.446,"reduce survival"
"RRN3P1",452,0.00893,1.448,"reduce survival"
"KIAA0753",536,0.008934,1.446,"reduce survival"
"ARHGEF2",4505,0.008948,1.447,"reduce survival"
"RP11-284M14.1",11,0.008948,1.446,"reduce survival"
"RP5-916O11.3",1,0.008972,1.449,"reduce survival"
"GRAMD1A",3348,0.008987,1.445,"reduce survival"
"AL137059.1",9,0.009005,1.445,"reduce survival"
"SRP68P3",1,0.009033,1.446,"reduce survival"
"ARHGAP11B",127,0.009047,1.444,"reduce survival"
"PTK7",1442,0.009051,1.443,"reduce survival"
"RP11-893F2.14",4,0.009059,1.446,"reduce survival"
"HOXD9",209,0.009103,1.444,"reduce survival"
"TMEM209",575,0.00911,1.445,"reduce survival"
"SURF6",457,0.009147,1.444,"reduce survival"
"LARP7",902,0.009168,1.446,"reduce survival"
"RP11-362K14.5",18,0.009197,1.446,"reduce survival"
"PHF19",1907,0.0092,1.445,"reduce survival"
"RP4-666F24.3",1,0.009205,1.444,"reduce survival"
"TPST1",1556,0.009209,1.443,"reduce survival"
"RP11-288H12.3",23,0.009235,1.446,"reduce survival"
"MBD5",370,0.009254,1.445,"reduce survival"
"TEN1-CDK3",49,0.00926,1.444,"reduce survival"
"OTOGL",24,0.009267,0.692,"extend survival"
"AC005702.4",2,0.009273,1.449,"reduce survival"
"PPP5C",1791,0.009275,1.442,"reduce survival"
"RP11-108P20.2",2,0.009282,1.442,"reduce survival"
"TRAM2",639,0.009311,1.444,"reduce survival"
"DNAJC8",2135,0.009328,1.442,"reduce survival"
"MCM3AP-AS1",114,0.009329,1.445,"reduce survival"
"AKT2",5130,0.009376,1.444,"reduce survival"
"GAPDHP38",3,0.009379,1.442,"reduce survival"
"ZFP36L1",4630,0.00938,1.442,"reduce survival"
"AC005009.2",2,0.009388,0.691,"extend survival"
"TRAF4",1785,0.00939,1.44,"reduce survival"
"FLNA",15363,0.009394,1.443,"reduce survival"
"STIL",164,0.009395,1.441,"reduce survival"
"LINC00866",2,0.009399,0.678,"extend survival"
"RP4-761J14.8",3,0.009402,1.444,"reduce survival"
"SLC16A3",1174,0.009416,1.444,"reduce survival"
"RP5-1142J19.2",1,0.009418,1.443,"reduce survival"
"CTB-118P15.2",5,0.009419,1.441,"reduce survival"
"SNORD94",14,0.009426,1.446,"reduce survival"
"RP11-649A18.12",48,0.009434,1.443,"reduce survival"
"STK3",360,0.009459,1.443,"reduce survival"
"PCDHB16",23,0.009463,1.442,"reduce survival"
"RAB42",108,0.009471,1.442,"reduce survival"
"SPATA17",62,0.009486,1.444,"reduce survival"
"GSDMA",11,0.009492,1.442,"reduce survival"
"RIMS2",112,0.009503,0.693,"extend survival"
"C11orf89",17,0.009517,1.442,"reduce survival"
"AC008174.3",5,0.009535,1.442,"reduce survival"
"MT-TF",2,0.009545,0.69,"extend survival"
"MLF1",518,0.009572,1.442,"reduce survival"
"RLTPR",177,0.009587,0.693,"extend survival"
"GPR65",66,0.009594,1.442,"reduce survival"
"ALPK3",360,0.009601,1.441,"reduce survival"
"CCL19",7,0.009603,0.694,"extend survival"
"C9orf171",27,0.009627,1.443,"reduce survival"
"STRADA",152,0.009652,1.443,"reduce survival"
"ZNF117",898,0.009667,1.443,"reduce survival"
"RP11-73M7.6",19,0.009669,1.438,"reduce survival"
"RP11-226L15.5",218,0.009738,1.442,"reduce survival"
"RP11-15A1.7",17,0.009799,1.44,"reduce survival"
"MARCH10",32,0.009804,1.438,"reduce survival"
"ZNF550",172,0.009817,1.442,"reduce survival"
"MAN2B2",1529,0.009818,1.44,"reduce survival"
"RP13-216E22.5",5,0.009826,1.441,"reduce survival"
"NES",27140,0.009832,1.44,"reduce survival"
"ZKSCAN1",2762,0.009845,1.44,"reduce survival"
"RP11-86H7.6",5,0.009849,1.441,"reduce survival"
"SLC26A11",1318,0.009868,1.438,"reduce survival"
"FSBP",4,0.009871,1.438,"reduce survival"
"C3orf70",877,0.009894,1.439,"reduce survival"
"RP11-757F18.5",3,0.009896,1.438,"reduce survival"
"TMEM214",1572,0.0099,1.439,"reduce survival"
"STK31",27,0.009904,1.441,"reduce survival"
"AC005702.2",1,0.009916,1.441,"reduce survival"
"CTD-2195M15.1",5,0.009931,1.438,"reduce survival"
"FBLN5",681,0.009941,1.439,"reduce survival"
"RP11-153M7.1",12,0.009954,1.441,"reduce survival"
"TTI1",744,0.009956,1.44,"reduce survival"
